requirement_text,primary_service,service_category,complexity_level,deployment_scenario,keywords_extracted,reference_url
Improve fault tolerance by routing requests away from unhealthy targets. This requirement comes from a iot system environment with low complexity and focuses on subnet-centric operations.,Elastic Load Balancing,Networking,Low,IoT System,subnet,https://aws.amazon.com/elasticloadbalancing/
Provision virtual machines with full operating system control for custom applications. This requirement comes from a multi-region environment with medium complexity and focuses on microservices-centric operations.,Amazon EC2,Compute,Medium,Multi-Region,microservices,https://aws.amazon.com/ec2/
Protect application data by orchestrating backups for storage and databases. This requirement comes from a multi-region environment with low complexity and focuses on store-centric operations.,AWS Backup,Storage,Low,Multi-Region,store,https://aws.amazon.com/backup/
Attach persistent block storage volumes to virtual machine instances for transactional workloads. This requirement comes from a enterprise environment with medium complexity and focuses on backup-centric operations.,Amazon EBS,Storage,Medium,Enterprise,backup,https://aws.amazon.com/ebs/
"Automatically handle capacity provisioning, load balancing, and health monitoring for applications. This requirement comes from a enterprise environment with high complexity and focuses on deploy-centric operations.",Elastic Beanstalk,Compute,High,Enterprise,deploy,https://aws.amazon.com/elasticbeanstalk/
Provision and operate managed relational databases with automated backups and patching. This requirement comes from a migration environment with high complexity and focuses on sql-centric operations.,Amazon RDS,Database,High,Migration,sql,https://aws.amazon.com/rds/
"Control access to encryption keys used by storage, databases, and applications. This requirement comes from a iot system environment with medium complexity and focuses on encrypt-centric operations.",AWS KMS,Security,Medium,IoT System,encrypt,https://aws.amazon.com/kms/
Offload read traffic from primary databases by storing computed or static results in cache. This requirement comes from a enterprise environment with medium complexity and focuses on nosql-centric operations.,Amazon ElastiCache,Database,Medium,Enterprise,nosql,https://aws.amazon.com/elasticache/
Create and manage cryptographic keys used to encrypt data at rest and in transit. This requirement comes from a iot system environment with low complexity and focuses on firewall-centric operations.,AWS KMS,Security,Low,IoT System,firewall,https://aws.amazon.com/kms/
Improve fault tolerance by routing requests away from unhealthy targets. This requirement comes from a migration environment with low complexity and focuses on subnet-centric operations.,Elastic Load Balancing,Networking,Low,Migration,subnet,https://aws.amazon.com/elasticloadbalancing/
Support compute-intensive processing with flexible instance types and sizes. This requirement comes from a startup environment with high complexity and focuses on vm-centric operations.,Amazon EC2,Compute,High,Startup,vm,https://aws.amazon.com/ec2/
Create and manage cryptographic keys used to encrypt data at rest and in transit. This requirement comes from a startup environment with high complexity and focuses on identity-centric operations.,AWS KMS,Security,High,Startup,identity,https://aws.amazon.com/kms/
Run application code in response to events without managing servers. This requirement comes from a migration environment with low complexity and on serverless-centric operations.,AWS Lambda,Compute,Low,Migration,serverless,https://aws.amazon.com/lambda/
Accelerate media streaming and software distribution workloads worldwide. This requirement comes from a multi-region environment with high complexity and focuses on subnet-centric operations.,Amazon CloudFront,Networking,High,Multi-Region,subnet,https://aws.amazon.com/cloudfront/
Improve fault tolerance by routing requests away from unhealthy targets. This requirement comes from a migration environment with high complexity and focuses on routing-centric operations.,Elastic Load Balancing,Networking,High,Migration,routing,https://aws.amazon.com/elasticloadbalancing/
Store key-value and document data for high-traffic applications with single-digit millisecond latency. This requirement comes from a multi-region environment with high complexity and focuses on key-value-centric operations.,Amazon DynamoDB,Database,High,Multi-Region,key-value,https://aws.amazon.com/dynamodb/
Support mission-critical workloads that require fault-tolerant distributed storage. This requirement comes from a startup environment with high complexity and focuses on key-value-centric operations.,Amazon Aurora,Database,High,Startup,key-value,https://aws.amazon.com/rds/aurora/
Protect application data by orchestrating backups for storage and databases. This requirement comes from a enterprise environment with low complexity and focuses on object-centric operations.,AWS Backup,Storage,Low,Enterprise,object,https://aws.amazon.com/backup/
Improve application performance using in-memory caching of frequently accessed data. This requirement comes from a startup environment with low complexity and focuses on sql-centric operations.,Amazon ElastiCache,Database,Low,Startup,sql,https://aws.amazon.com/elasticache/
